LeadId,LeadCode,FullName,Email,Phone,Company,LeadSourceId,LeadStageId,LeadStatusId,LeadScoringId,CountryId,InterestedRegion,AssignedAgentId,RevenuePotential,ConversionProbability,ExpectedRevenue,CreatedOn,ModifiedOn,DaysInPipeline,DaysSinceLastUpdate,LeadVelocity,EngagementScore,TemperatureTrend,ChurnRisk,PredictedCLV,PropensityToBuy,PropensityToChurn,PropensityToUpgrade,NextBestAction,BehavioralSegment,PredictedJourney,Country
11,LEAD011,Ahmed Al-Rashid,ahmed.al.rashid@emirates.ae,+966571498611,Dubai Properties LLC,2,4,3,4,2,Dubai Marina,4,24215.25286782658,0.05,1210.762643391329,2025-09-06 00:00:00,2025-09-08 00:00:00,9,7,2.25,82,Cooling Down,0.95,31457.458081504134,0.285966691754556,0.915728548347323,0.17727264433359544,Final Attempt,Loyal Customers,Journey Complete,UAE
12,LEAD012,Sarah Thompson,sarah.thompson@globalproperties.com,+91558800797,Dubai Properties LLC,4,1,2,4,5,Red Sea Project,2,36876.35085513047,0.010000000000000002,368.76350855130477,2025-09-04 00:00:00,2025-09-10 00:00:00,11,5,11.0,57,Heating Up,0.9154396513551544,51732.03811143871,0.46309578390650014,0.95,0.246345022667852,Final Attempt,Need Attention,15 days to Qualified,United States
13,LEAD013,Omar Al-Farisi,omar.al.farisi@emirates.ae,+966544349361,Mumbai Real Estate Co,5,2,4,4,2,London Financial,4,23853.804227902292,0.03,715.6141268370687,2025-08-05 00:00:00,2025-08-25 00:00:00,41,21,20.5,51,Heating Up,0.8648294121187279,36342.23345300229,0.21552864997404042,0.95,0.12502627896607063,Final Attempt,Need Attention,44 days to Nurtured,UAE
14,LEAD014,Mohammed Al-Ansari,mohammed.al.ans@emirates.ae,+91556851760,Saudi Real Estate Co.,4,2,1,1,2,Business Bay,1,341311.9746091626,0.44999999999999996,153590.38857412315,2025-08-13 00:00:00,2025-08-16 00:00:00,33,30,16.5,53,Heating Up,0.5849762048932259,492026.0484193939,0.1372899152791084,0.7206604953678463,0.5612219021367033,Send Proposal,Need Attention,20 days to Nurtured,UAE
15,LEAD015,Aisha Al-Mahmoud,aisha.al.mahmou@emirates.ae,+44533528453,New York Real Estate Partners,1,1,8,3,2,Red Sea Project,5,69985.96769314261,0.03,2099.579030794278,2025-08-29 00:00:00,2025-09-02 00:00:00,17,13,17.0,48,Heating Up,0.8471933578854465,86107.44514923816,0.35650941068005554,0.9377938483794324,0.20568752653182762,Value Content,Need Attention,20 days to Qualified,UAE
16,LEAD016,Fatima Al-Zahra,fatima.al.zahra@saudirealty.sa,+971553826716,Emirates Holdings,2,2,7,3,1,Dubai Marina,4,108634.2666079267,0.09,9777.083994713403,2025-08-16 00:00:00,2025-08-21 00:00:00,30,25,15.0,63,Stable,0.9047733696640615,190752.0867815764,0.2323155862876419,0.7659958552316202,0.3871757438308845,Check Interest,Need Attention,32 days to Nurtured,Saudi Arabia
17,LEAD017,Emma Davis,emma.davis@globalproperties.com,+966577736262,New York Real Estate Partners,5,3,1,3,4,London Financial,3,94748.24387741412,0.12,11369.789265289694,2025-09-01 00:00:00,2025-09-05 00:00:00,14,10,4.666666666666667,71,Heating Up,0.8084411545740866,116548.43169269811,0.28076750674940765,0.8085648581973632,0.42595114231787234,Check Interest,Loyal Customers,53 days to Conversion,United Kingdom
18,LEAD018,Michael Brown,michael.brown@globalproperties.com,+1509121552,Emirates Holdings,2,1,7,3,5,Business Bay,5,62986.17793575594,0.03,1889.5853380726783,2025-09-02 00:00:00,2025-09-04 00:00:00,13,11,13.0,62,Heating Up,0.8481000848605207,97461.75278283672,0.24947350433593435,0.95,0.4273058320495228,Nurture Campaign,Need Attention,16 days to Qualified,United States
19,LEAD019,Fatima Al-Zahra,fatima.al.zahra@saudirealty.sa,+971589889098,Delhi Investment Group,3,1,4,4,1,Mumbai Commercial,4,31504.030378269144,0.010000000000000002,315.0403037826915,2025-09-06 00:00:00,2025-09-22 00:00:00,9,-7,9.0,45,Heating Up,0.95,50501.40596727336,0.1413231164209455,0.95,0.5934225048273374,Archive Lead,Need Attention,14 days to Qualified,Saudi Arabia
20,LEAD020,Priya Patel,priya.patel@indiaproperties.in,+971567898694,Al-Rashid Investment Group,2,3,6,2,3,NEOM Project,1,120978.12297284587,0.36000000000000004,43552.12427022452,2025-09-09 00:00:00,2025-09-27 00:00:00,6,-12,2.0,68,Heating Up,0.530754744601506,171996.5637173653,0.2823064217080823,0.627586761111834,0.463373564788111,Follow-up Call,Need Attention,49 days to Conversion,India
21,LEAD021,David Miller,david.miller@globalproperties.com,+1540181935,Saudi Real Estate Co.,1,1,3,1,5,Mumbai Commercial,1,307043.6090020413,0.15000000000000002,46056.5413503062,2025-09-11 00:00:00,2025-09-27 00:00:00,4,-12,4.0,35,Heating Up,0.9070734892622785,505224.9096221618,0.06931916989916131,0.8885317379728837,0.39002721631284515,Schedule Demo,Need Attention,11 days to Qualified,United States
22,LEAD022,Rohit Gupta,rohit.gupta@indiaproperties.in,+91567834855,New York Real Estate Partners,3,2,1,4,3,London Financial,4,23686.018959121506,0.03,710.5805687736452,2025-08-22 00:00:00,2025-08-28 00:00:00,24,18,12.0,71,Stable,0.95,29049.76667643695,0.2937852996710107,0.95,0.18181635737582583,Archive Lead,Loyal Customers,22 days to Nurtured,India
23,LEAD023,Amit Kumar,amit.kumar@indiaproperties.in,+966592747083,Dubai Properties LLC,5,3,1,3,3,London Financial,3,98914.62268826638,0.12,11869.754722591964,2025-09-05 00:00:00,2025-09-18 00:00:00,10,-3,3.3333333333333335,82,Cooling Down,0.7074037342621358,151489.23410811723,0.16567720678226777,0.8314636452170896,0.4802631231701147,Check Interest,Loyal Customers,29 days to Conversion,India
24,LEAD024,Omar Al-Farisi,omar.al.farisi@saudirealty.sa,+966547469942,Dubai Properties LLC,5,1,7,1,1,Red Sea Project,2,263814.0151822698,0.15000000000000002,39572.10227734048,2025-08-03 00:00:00,2025-08-14 00:00:00,43,32,43.0,41,Heating Up,0.911902674025596,453433.87838027405,0.4206658338761289,0.8165182752605266,0.1621801500098404,Schedule Demo,Need Attention,21 days to Qualified,Saudi Arabia
25,LEAD025,James Wilson,james.wilson@globalproperties.com,+971535810056,Saudi Real Estate Co.,6,1,2,3,4,Dubai Marina,1,69416.43482945587,0.03,2082.4930448836762,2025-08-22 00:00:00,2025-09-04 00:00:00,24,11,24.0,60,Stable,0.95,92564.05519007637,0.5030168891435404,0.7674857413342393,0.3482047347405658,Check Interest,Need Attention,12 days to Qualified,United Kingdom
26,LEAD026,Deepika Singh,deepika.singh@indiaproperties.in,+966537463522,London Property Investments,6,1,9,4,3,Business Bay,5,23901.162076101657,0.010000000000000002,239.01162076101662,2025-09-12 00:00:00,2025-09-18 00:00:00,3,-3,3.0,47,Stable,0.9219917326742918,42150.709962599154,0.08781088221343694,0.95,0.2773047642302652,Re-engagement,Need Attention,21 days to Qualified,India
27,LEAD027,Amit Kumar,amit.kumar@indiaproperties.in,+91597783662,Saudi Real Estate Co.,3,3,7,2,3,NEOM Project,5,180961.9220425643,0.36000000000000004,65146.29193532316,2025-08-17 00:00:00,2025-08-18 00:00:00,29,28,9.666666666666666,68,Heating Up,0.6647222412768625,258977.73003912534,0.45950640724990544,0.7666911149186622,0.21569178417340185,Schedule Meeting,Need Attention,33 days to Conversion,India
28,LEAD028,Rajesh Sharma,rajesh.sharma@indiaproperties.in,+971548884978,Emirates Holdings,1,2,6,2,3,Red Sea Project,3,194422.45480258792,0.27,52494.062796698745,2025-08-01 00:00:00,2025-08-17 00:00:00,45,29,22.5,79,Cooling Down,0.8195011739524304,332230.8731741402,0.7785190907104095,0.599980715840656,0.22289846526803067,Schedule Meeting,Loyal Customers,33 days to Nurtured,India
29,LEAD029,David Miller,david.miller@globalproperties.com,+971525748341,Saudi Real Estate Co.,6,2,7,4,5,Business Bay,2,31670.625821850266,0.03,950.118774655508,2025-08-21 00:00:00,2025-09-02 00:00:00,25,13,12.5,72,Cooling Down,0.8907142185800675,48819.102734282584,0.10783730135610187,0.95,0.42088843941513254,Archive Lead,Loyal Customers,14 days to Nurtured,United States
30,LEAD030,Rohit Gupta,rohit.gupta@indiaproperties.in,+44559345683,Emirates Holdings,2,2,9,3,3,Dubai Marina,2,71034.5909563387,0.09,6393.113186070483,2025-09-07 00:00:00,2025-09-26 00:00:00,8,-11,4.0,70,Cooling Down,0.8452987196241,88855.55890732177,0.40868004416064163,0.8991502111436487,0.37811529905533686,Value Content,Need Attention,35 days to Nurtured,India
31,LEAD031,Aisha Al-Mahmoud,aisha.al.mahmou@saudirealty.sa,+971563771720,New York Real Estate Partners,1,4,8,1,1,NEOM Project,5,317739.24234750425,0.75,238304.43176062818,2025-08-15 00:00:00,2025-08-21 00:00:00,31,25,7.75,84,Heating Up,0.20244253877268265,518235.10297744884,0.13074143774186434,0.33995998754332507,0.38239197004276715,Send Proposal,Champions,Journey Complete,Saudi Arabia
32,LEAD032,Sarah Thompson,sarah.thompson@globalproperties.com,+966557062156,London Property Investments,2,3,9,3,4,London Financial,1,72809.18307786805,0.12,8737.101969344165,2025-09-11 00:00:00,2025-09-11 00:00:00,4,4,1.3333333333333333,93,Cooling Down,0.95,98257.37359331323,0.6343253079926505,0.7579429895718146,0.3730075387746662,Nurture Campaign,Loyal Customers,50 days to Conversion,United Kingdom
33,LEAD033,Mohammed Al-Ansari,mohammed.al.ans@emirates.ae,+44582228802,Mumbai Real Estate Co,6,3,9,3,2,Red Sea Project,5,95047.83096078354,0.12,11405.739715294025,2025-09-05 00:00:00,2025-09-24 00:00:00,10,-9,3.3333333333333335,75,Stable,0.95,165224.00763259645,0.4581289174048813,0.9124166352488442,0.15989685911980972,Value Content,Loyal Customers,51 days to Conversion,UAE
34,LEAD034,David Miller,david.miller@globalproperties.com,+44584120751,New York Real Estate Partners,3,1,8,2,4,Mumbai Commercial,3,198936.5625825537,0.09000000000000001,17904.290632429835,2025-09-10 00:00:00,2025-09-18 00:00:00,5,-3,5.0,59,Heating Up,0.95,271156.31674187264,0.3457501716653292,0.95,0.364829158103287,Send Information,Need Attention,21 days to Qualified,United Kingdom
35,LEAD035,Sarah Thompson,sarah.thompson@globalproperties.com,+971508620650,Saudi Real Estate Co.,4,2,6,4,5,Mumbai Commercial,4,22421.546076532726,0.03,672.6463822959818,2025-08-15 00:00:00,2025-08-27 00:00:00,31,19,15.5,72,Stable,0.8352884434319334,27743.511391142016,0.16851965057355547,0.8877779604433569,0.3548100972853181,Archive Lead,Loyal Customers,38 days to Nurtured,United States
36,LEAD036,James Wilson,james.wilson@globalproperties.com,+91540079111,Al-Rashid Investment Group,4,3,7,1,5,Mumbai Commercial,5,349928.1056531885,0.6000000000000001,209956.86339191312,2025-09-06 00:00:00,2025-09-18 00:00:00,9,-3,3.0,80,Cooling Down,0.3209433733734388,608415.3812014284,0.20302165178870002,0.3522618269424678,0.2127839308855776,Send Proposal,Loyal Customers,35 days to Conversion,United States
37,LEAD037,Priya Patel,priya.patel@indiaproperties.in,+44597197979,Saudi Real Estate Co.,4,1,3,4,3,Red Sea Project,5,28498.734891473752,0.010000000000000002,284.9873489147376,2025-08-25 00:00:00,2025-09-04 00:00:00,21,11,21.0,56,Heating Up,0.95,49706.27700194019,0.36813707892955594,0.95,0.16027979987481444,Final Attempt,Need Attention,16 days to Qualified,India
38,LEAD038,Fatima Al-Zahra,fatima.al.zahra@saudirealty.sa,+44543936531,Delhi Investment Group,4,1,6,4,1,Red Sea Project,4,31248.118840163374,0.010000000000000002,312.4811884016338,2025-08-09 00:00:00,2025-08-23 00:00:00,37,23,37.0,40,Stable,0.8119127148614965,51597.07800944217,0.2701961687971416,0.95,0.3678000382553767,Archive Lead,Need Attention,11 days to Qualified,Saudi Arabia
39,LEAD039,Mohammed Al-Ansari,mohammed.al.ans@saudirealty.sa,+966587477029,Saudi Real Estate Co.,1,2,4,3,1,Dubai Marina,1,61017.62257012557,0.09,5491.586031311301,2025-09-04 00:00:00,2025-09-05 00:00:00,11,10,5.5,80,Cooling Down,0.855385565114147,78799.9521610187,0.6625555052394813,0.95,0.1985279457185315,Nurture Campaign,Loyal Customers,44 days to Nurtured,Saudi Arabia
40,LEAD040,Omar Al-Farisi,omar.al.farisi@saudirealty.sa,+1581503378,New York Real Estate Partners,6,2,2,1,1,Business Bay,2,365857.4788879141,0.44999999999999996,164635.86549956133,2025-08-30 00:00:00,2025-09-07 00:00:00,16,8,8.0,74,Stable,0.5211569383510471,462758.21627789753,0.03784389339635996,0.6241963016529466,0.3656074262996547,Schedule Demo,Loyal Customers,33 days to Nurtured,Saudi Arabia
41,LEAD041,Sarah Thompson,sarah.thompson@globalproperties.com,+971513676961,Mumbai Real Estate Co,3,1,10,3,5,Red Sea Project,1,80824.35817962294,0.03,2424.7307453886883,2025-09-15 00:00:00,2025-09-21 00:00:00,0,-6,0.0,37,Cooling Down,0.95,134942.82955053734,0.20366965155808878,0.95,0.27647914772697346,Check Interest,Need Attention,15 days to Qualified,United States
42,LEAD042,James Wilson,james.wilson@globalproperties.com,+44514165187,Emirates Holdings,3,4,8,4,4,Red Sea Project,2,21206.74288909371,0.05,1060.3371444546856,2025-09-11 00:00:00,2025-09-21 00:00:00,4,-6,1.0,80,Stable,0.95,27689.266215123473,0.4551815839280392,0.918697629178356,0.10452133376855767,Final Attempt,Loyal Customers,Journey Complete,United Kingdom
43,LEAD043,Rohit Gupta,rohit.gupta@indiaproperties.in,+1536023439,Mumbai Real Estate Co,2,3,2,3,3,London Financial,4,102430.45898735468,0.12,12291.655078482561,2025-09-04 00:00:00,2025-09-19 00:00:00,11,-4,3.6666666666666665,79,Heating Up,0.8573222215373707,169039.52878882378,0.3088531321386536,0.8051513463443446,0.1987067013789408,Value Content,Loyal Customers,60 days to Conversion,India
44,LEAD044,James Wilson,james.wilson@globalproperties.com,+91545679506,Dubai Properties LLC,5,2,5,4,4,London Financial,1,20502.24996097657,0.03,615.067498829297,2025-08-21 00:00:00,2025-08-26 00:00:00,25,20,12.5,65,Cooling Down,0.8583025018697387,36265.14952211137,0.1394608148753392,0.95,0.3087319344719348,Re-engagement,Need Attention,29 days to Nurtured,United Kingdom
45,LEAD045,Michael Brown,michael.brown@globalproperties.com,+44502314351,Delhi Investment Group,3,1,4,4,4,Business Bay,2,29715.583702682565,0.010000000000000002,297.1558370268257,2025-08-16 00:00:00,2025-08-31 00:00:00,30,15,30.0,55,Stable,0.95,47496.67620141615,0.030146442626976543,0.95,0.37898620071983263,Archive Lead,Need Attention,14 days to Qualified,United Kingdom
46,LEAD046,Emma Davis,emma.davis@globalproperties.com,+91541154241,Al-Rashid Investment Group,2,4,2,2,5,Mumbai Commercial,2,156094.52638535126,0.45,70242.53687340807,2025-09-05 00:00:00,2025-09-15 00:00:00,10,0,2.5,91,Stable,0.5946280872808692,198510.53609041992,0.40968708035661794,0.6622677684798022,0.10907608464120859,Schedule Meeting,Loyal Customers,Journey Complete,United States
47,LEAD047,Aisha Al-Mahmoud,aisha.al.mahmou@emirates.ae,+1580099897,Saudi Real Estate Co.,1,1,4,4,2,Dubai Marina,2,23786.7311978756,0.010000000000000002,237.86731197875605,2025-08-31 00:00:00,2025-09-08 00:00:00,15,7,15.0,58,Stable,0.95,31105.074096676643,0.20285732787644095,0.95,0.22481870594693765,Re-engagement,Need Attention,18 days to Qualified,UAE
48,LEAD048,Michael Brown,michael.brown@globalproperties.com,+971585613415,New York Real Estate Partners,4,2,2,1,5,Business Bay,1,248004.4821870718,0.44999999999999996,111602.0169841823,2025-08-04 00:00:00,2025-08-21 00:00:00,42,25,21.0,59,Cooling Down,0.5934318264402427,339915.8351797276,0.5786652674307131,0.6014588990690539,0.446973886294713,Send Proposal,Need Attention,42 days to Nurtured,United States
49,LEAD049,Amit Kumar,amit.kumar@indiaproperties.in,+44566001106,Mumbai Real Estate Co,5,3,1,1,3,Red Sea Project,2,368962.08754920156,0.6000000000000001,221377.25252952098,2025-08-17 00:00:00,2025-09-01 00:00:00,29,14,9.666666666666666,68,Cooling Down,0.45153850324790873,652869.3320695795,0.2543104744009164,0.1698078835264414,0.41854345140107263,Schedule Demo,Potential Loyalists,36 days to Conversion,India
50,LEAD050,Aisha Al-Mahmoud,aisha.al.mahmou@saudirealty.sa,+1551053474,Mumbai Real Estate Co,4,1,5,3,1,Business Bay,5,100133.2808796252,0.03,3003.998426388756,2025-09-08 00:00:00,2025-09-27 00:00:00,7,-12,7.0,60,Stable,0.95,138507.17252326172,0.19381439320938615,0.95,0.0631864843674548,Value Content,Need Attention,7 days to Qualified,Saudi Arabia
